date,new_cases,new_deaths,total_cases,total_deaths
2019-12-31,0,0,0,0
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,3,0,3,0
2020-01-25,0,0,3,0
2020-01-26,1,0,4,0
2020-01-27,0,0,4,0
2020-01-28,1,0,5,0
2020-01-29,2,0,7,0
2020-01-30,3,0,10,0
2020-01-31,3,0,13,0
2020-02-01,3,0,16,0
2020-02-02,2,0,18,0
2020-02-03,0,0,18,0
2020-02-04,0,0,18,0
2020-02-05,6,0,24,0
2020-02-06,4,0,28,0
2020-02-07,2,0,30,0
2020-02-08,3,0,33,0
2020-02-09,7,0,40,0
2020-02-10,3,0,43,0
2020-02-11,2,0,45,0
2020-02-12,2,0,47,0
2020-02-13,3,0,50,0
2020-02-14,8,0,58,0
2020-02-15,9,0,67,0
2020-02-16,5,0,72,0
2020-02-17,3,0,75,0
2020-02-18,2,0,77,0
2020-02-19,4,0,81,0
2020-02-20,3,0,84,0
2020-02-21,1,0,85,0
2020-02-22,1,0,86,0
2020-02-23,3,0,89,0
2020-02-24,0,0,89,0
2020-02-25,1,0,90,0
2020-02-26,1,0,91,0
2020-02-27,2,0,93,0
2020-02-28,3,0,96,0
2020-02-29,2,0,98,0
2020-03-01,4,0,102,0
2020-03-02,4,0,106,0
2020-03-03,2,0,108,0
2020-03-04,2,0,110,0
2020-03-05,2,0,112,0
2020-03-06,5,0,117,0
2020-03-07,13,0,130,0
2020-03-08,8,0,138,0
2020-03-09,12,0,150,0
2020-03-10,10,0,160,0
2020-03-11,6,0,166,0
2020-03-12,12,0,178,0
2020-03-13,9,0,187,0
2020-03-14,13,0,200,0
2020-03-15,14,0,214,0
2020-03-16,12,0,226,0
2020-03-17,17,0,243,0
2020-03-18,23,0,266,0
2020-03-19,47,0,313,0
2020-03-20,32,0,345,0
2020-03-21,40,0,385,0
2020-03-22,47,2,432,2
2020-03-23,23,0,455,2
2020-03-24,54,0,509,2
2020-03-25,49,0,558,2
2020-03-26,10,0,568,2
2020-03-27,26,0,594,2
2020-03-28,138,0,732,2
2020-03-29,71,1,803,3
2020-03-30,41,0,844,3
2020-03-31,0,0,844,3
2020-04-01,35,0,879,3
2020-04-02,121,1,1000,4
2020-04-03,49,1,1049,5
2020-04-04,65,0,1114,5
2020-04-05,75,1,1189,6
2020-04-06,120,0,1309,6
